Unique Lake,Latitude,Longitude,Chla,TP,TN,DO,TSS,Country,Lake Name
JPN11048,35.97778,140.48139,65,96,444,10.9,29.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,35,88,1691,11.9,12.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,55,117,1083,13.4,30.4,JPN,Kasumigaura
JPN11048,36.11972,140.39028,109,79,1821,13.6,23.3,JPN,Kasumigaura
JPN11048,35.97778,140.48139,10,75,828,8.6,35,JPN,Kasumigaura
JPN11048,36.04306,140.41167,85,86,1062,9.6,14.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,70,123,863,7,21.1,JPN,Kasumigaura
JPN11048,36.04306,140.41167,21,137,948,6.7,21.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,111,149,2271,12.1,32.7,JPN,Kasumigaura
JPN11048,36.04306,140.41167,34,46,968,9.5,9.5,JPN,Kasumigaura
JPN11048,35.97778,140.48139,27,59,702,10.7,8.7,JPN,Kasumigaura
JPN11048,36.11972,140.39028,23,151,716,6.6,33.9,JPN,Kasumigaura
JPN11048,36.04306,140.41167,46,74,765,12.7,12.5,JPN,Kasumigaura
JPN11048,36.04306,140.41167,78,176,1115,8.8,15.2,JPN,Kasumigaura
JPN11048,36.11972,140.39028,41,97,1446,11.3,17.6,JPN,Kasumigaura
JPN11048,35.97778,140.48139,50,72,798,13.08,13.1,JPN,Kasumigaura
JPN11048,36.04306,140.41167,37,42,1086,11.9,7.3,JPN,Kasumigaura
JPN11048,35.97778,140.48139,45,50,847,12.4,8.6,JPN,Kasumigaura
JPN11048,36.11972,140.39028,34,170,1336,7,29.6,JPN,Kasumigaura
JPN11048,36.04306,140.41167,37,97,670,10.5,22,JPN,Kasumigaura
JPN11048,36.04306,140.41167,60,77,768,14.9,18.8,JPN,Kasumigaura
JPN11048,36.11972,140.39028,59,102,1018,11.1,24,JPN,Kasumigaura
JPN11048,35.97778,140.48139,24,67,753,10.2,18.6,JPN,Kasumigaura
JPN11048,36.04306,140.41167,38,61,1132,12.6,11.4,JPN,Kasumigaura
JPN11048,35.97778,140.48139,55,131,719,8.5,39.6,JPN,Kasumigaura
JPN11048,36.04306,140.41167,39,109,930,9.2,14.2,JPN,Kasumigaura
JPN11048,35.97778,140.48139,71,118,892,12.7,36.2,JPN,Kasumigaura
JPN11048,36.11972,140.39028,53,117,1345,9.4,29.6,JPN,Kasumigaura
JPN11048,36.11972,140.39028,91,215,1440,9.9,30.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,79,141,1313,9.3,23.2,JPN,Kasumigaura
JPN11048,35.97778,140.48139,53,74,1091,11.2,17.3,JPN,Kasumigaura
JPN11048,35.97778,140.48139,49,71,930,9.2,15.4,JPN,Kasumigaura
JPN11048,36.11972,140.39028,66,156,1265,8.3,26.9,JPN,Kasumigaura
JPN11048,36.11972,140.39028,72,130,1117,9.6,26.1,JPN,Kasumigaura
JPN11048,35.97778,140.48139,69,103,1190,8.7,21.3,JPN,Kasumigaura
JPN11048,36.11972,140.39028,53,107,1739,13.6,19.7,JPN,Kasumigaura
JPN11048,35.97778,140.48139,87,106,932,12.5,23.8,JPN,Kasumigaura
JPN11048,36.04306,140.41167,111,118,1257,12.3,23.7,JPN,Kasumigaura
JPN11048,36.04306,140.41167,46,58,1232,12.4,9.9,JPN,Kasumigaura
JPN11048,36.04306,140.41167,48,82,836,10.5,12.3,JPN,Kasumigaura
JPN11048,36.04306,140.41167,43,86,1184,10.3,13.5,JPN,Kasumigaura
JPN11048,36.04306,140.41167,84,91,1359,12.6,24.1,JPN,Kasumigaura
JPN11048,35.97778,140.48139,71,127,920,13.4,37.9,JPN,Kasumigaura
JPN11048,35.97778,140.48139,38,124,1133,8.4,25.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,78,118,1375,10.3,18.7,JPN,Kasumigaura
JPN11048,36.04306,140.41167,32,143,885,7,30.3,JPN,Kasumigaura
JPN11048,36.11972,140.39028,77,106,1549,11.4,22.7,JPN,Kasumigaura
JPN11048,35.97778,140.48139,62,118,955,7.7,32.9,JPN,Kasumigaura
JPN11048,35.97778,140.48139,54,90,1012,10,16.2,JPN,Kasumigaura
JPN11048,36.04306,140.41167,54,75,1105,11.3,13.1,JPN,Kasumigaura
JPN11048,35.97778,140.48139,35,88,714,10,25.4,JPN,Kasumigaura
JPN11048,36.11972,140.39028,95,165,1372,8.9,38.9,JPN,Kasumigaura
JPN11048,36.11972,140.39028,52,99,1385,10,20.1,JPN,Kasumigaura
JPN11048,35.97778,140.48139,75,88,1201,8.8,21.3,JPN,Kasumigaura
JPN11048,36.04306,140.41167,63,129,906,9.7,26.9,JPN,Kasumigaura
JPN11048,36.11972,140.39028,130,129,1548,14.6,20.8,JPN,Kasumigaura
JPN11048,36.11972,140.39028,30,65,1539,9.8,13.4,JPN,Kasumigaura
JPN11048,36.11972,140.39028,89,104,1413,9.7,22,JPN,Kasumigaura
JPN11048,36.04306,140.41167,46,91,820,6.5,18.2,JPN,Kasumigaura
JPN11048,35.97778,140.48139,29,98,687,8.7,23,JPN,Kasumigaura
JPN11048,35.97778,140.48139,47,114,905,8.3,24.7,JPN,Kasumigaura
JPN11048,36.04306,140.41167,49,83,1097,13.1,18.4,JPN,Kasumigaura
JPN11048,36.11972,140.39028,52,74,1136,11.9,11.9,JPN,Kasumigaura
JPN11048,36.04306,140.41167,49,94,948,9.4,13.7,JPN,Kasumigaura
JPN11048,36.11972,140.39028,69,111,1439,12.8,18.6,JPN,Kasumigaura
JPN11048,36.11972,140.39028,142,230,1535,11.1,46.3,JPN,Kasumigaura
JPN11048,35.97778,140.48139,19,123,861,6.4,28,JPN,Kasumigaura
JPN11048,35.97778,140.48139,50,77,952,13.4,11.1,JPN,Kasumigaura
JPN11048,36.04306,140.41167,73,89,1284,11.5,22.2,JPN,Kasumigaura
JPN11048,36.04306,140.41167,50,70,930,12.94,16.6,JPN,Kasumigaura
JPN11048,36.04306,140.41167,27,59,732,12.7,9.7,JPN,Kasumigaura
JPN11048,35.97778,140.48139,52,86,1026,11.8,16.5,JPN,Kasumigaura
JPN11048,36.04306,140.41167,42,67,1339,11.4,11.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,61,137,1767,10.4,28.3,JPN,Kasumigaura
JPN11048,36.11972,140.39028,114,129,2086,11.7,22.3,JPN,Kasumigaura
JPN11048,35.97778,140.48139,50,72,855,13.4,25.2,JPN,Kasumigaura
JPN11048,35.97778,140.48139,52,157,1238,10,29.4,JPN,Kasumigaura
JPN11048,36.04306,140.41167,116,121,1098,14.2,27,JPN,Kasumigaura
JPN11048,35.97778,140.48139,28,41,934,8.8,14.4,JPN,Kasumigaura
JPN11048,36.04306,140.41167,22,37,1054,12.8,8.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,30,71,612,7.66,22.6,JPN,Kasumigaura
JPN11048,36.11972,140.39028,48,89,1787,9.2,21.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,42,120,686,12.8,37.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,74,128,1323,8.9,22.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,70,70,2270,13.86,17.3,JPN,Kasumigaura
JPN11048,35.97778,140.48139,54,95,995,10,20.5,JPN,Kasumigaura
JPN11048,35.97778,140.48139,34,121,784,5.9,28.4,JPN,Kasumigaura
JPN11048,35.97778,140.48139,95,112,1008,8.6,24,JPN,Kasumigaura
JPN11048,36.04306,140.41167,64,148,1152,8.1,23.1,JPN,Kasumigaura
